	ime	leto	obrazlozitev	id
458	Mucherjeva ulica	1976	Anton Mucher-Muhec, roj. 1927 na Vrhniki, padel v NOB 1943 v Žužemberku na Dolenjskem; vajenec, aktivist mladinske OF od 1941 na Ježici .	610110658;726
459	Gola Loka	1970	Po katastrski označbi.	610110271;288
460	Golarjeva ulica	1985	Cvetko Golar, 4.5.1879 Gosteče pri Škofji Loki - 18.12.1965 Ljutomer. Novinar in književnik. Sodobnik in sopotnik slovenske moderne.	610110272;1774
461	Goljarjeva pot	1970	Po bližnji domačiji.	610110273;289
462	Golouhova ulica			610110274;1775
463	Gorazdova ulica	1974	Gorazd, sin Boruta, knez karantanskih Slovencev ok. 750. Z njim je povezano najstarejšo pričevanje o ustoličevanju koroških knezov oz. vojvod.	610110275;2348
464	Gorazdova ulica	1974	Gorazd, sin Boruta, knez karantanskih Slovencev ok. 750. Z njim je povezano najstarejšo pričevanje o ustoličevanju koroških knezov oz. vojvod.	610110275;290
465	Goriška ulica	1923	Po mestu Gorici.	610110276;291
466	Gorjančeva ulica	1958	Franc Gorjanc-Bobo, roj. 1923 v Mali vas pri Ljubljani, podel 1945 v Brezah pri Laškem kot komandant bataljona VDV brigade; vajenecv, od leta 1941 borec NOV.	610110277;292
467	Gorjupova ulica			610110278;1776
468	Gorkičeva ulica	1963	Vladimir Gorkič-Lado, roj. 1923 v Ljubljani, padel 1943 v Selški dolini; dijak, skojevec in član borbene grupe od leta 1941.	610110279;294
469	Gornji Rudnik I	1963	Del naselja Rudnik.	610110280;295
470	Gornji Rudnik II	1963	Del naselja Rudnik.	610110281;296
471	Gornji Rudnik III	1963	Del naselja Rudnik.	610110282;297
472	Gornji Rudnik IV	1963	Del naselja Rudnik.	610110283;298
473	Gornji trg	1952	Domače krajevno ime. V prejšnjih stoletjih so včasih uporabljali ime Gornji stari trg.	610110284;300
474	Goropečnikova ulica	1984	Po štiruh bratih Goropečnik, ki so preminuli kot aktivni borci NOB.	610110285;1777
475	Gortanova ulica	1986	Vladimir Gortan, roj. 1904 v Beramu, Hrvatska, ustreljen 1929 v Puli; kmet, član ilegalne organizacije TIGR (Trst-Istra-Gorica-Reka). Deloval v sabotažni skupini v akcijah proti fašizmu.	610110286;2349
476	Gortanova ulica	1986	Vladimir Gortan, roj. 1904 v Beramu, Hrvatska, ustreljen 1929 v Puli; kmet, član ilegalne organizacije TIGR (Trst-Istra-Gorica-Reka). Deloval v sabotažni skupini v akcijah proti fašizmu.	610110286;2350
477	Gortanova ulica	1986	Vladimir Gortan, roj. 1904 v Beramu, Hrvatska, ustreljen 1929 v Puli; kmet, član ilegalne organizacije TIGR (Trst-Istra-Gorica-Reka). Deloval v sabotažni skupini v akcijah proti fašizmu.	610110286;303
478	Gorupova ulica	1898	Josip Gorup, roj. 1834 v Slavini na Notranjskem, umrl 1913 na Reki; veletrgovec in narodni mecen. Založil dva zvezka Gregorčičevih pesmi, pomagal zgraditi dekliški licej. Ob tej ulici zgradil več hiš.	610118006;304
479	Gosarjeva ulica	1997	Andrej Gosar, roj. 1887 v Logatcu, umrl v Ljubljani; publicist in politik.	610111502;1594
480	Gospodinjska ulica	1938	Po nekdanji Krekovi gospodinjski šoli, ki je bila ob tej ulici.	610110287;305
481	Gosposka ulica	1876	Ljudsko poimenovanje ulice, kjer je bivalo najodličnejše plemstvo. Ime se je pojavilo sredi 18. stoletja.	610110288;306
482	Gosposvetska cesta	1948	Označitev pomena Gospe Svete za slovensko zgodovino, obenem smer Celovec - Gospa Sveta.	610110289;310
483	Gosposvetska cesta	1948	Označitev pomena Gospe Svete za slovensko zgodovino, obenem smer Celovec - Gospa Sveta.	610110289;308
484	Gosposvetska cesta	1948	Označitev pomena Gospe Svete za slovensko zgodovino, obenem smer Celovec - Gospa Sveta.	610118007;313
485	Gotska ulica	1968	Pri gradnji novega naselja so leta 1968 odkrili gotsko grobišče iz 6. stoletja.	610110290;314
486	Govekarjeva ulica	1985	Franc Govekar, 1871-1949. Slovenjski pisatelj.	610110291;1778
487	Gozdna pot	1968	Vodi ob gozdu.	610110292;315
488	Grablovičeva ulica	1959	Anton Grablovic, roj. 1864, umrl 1904 v Ljubljani; politik in delavski organizator.	610110293;318
489	Gradaška ulica	1963	Po potoku Gradaščici, ob katerem poteka.	610110294;320
490	Park Sveta Evrope	2004	Po medvladni organizaciji Counsil of Europe s sedežem v Strasbourgu s 45 državami članicami, ki zastopa okrog 800 milijonov državljanov.	610110000;321
491	Gradišče	1982	Staro krajevno ime.	610110296;322
492	Gradišče	1982	Staro krajevno ime.	610110296;2351
493	Gradnikova ulica	1974	Alojzij Gradnik, roj. 1882 v Medani v Goriških Brdih, umrl 1967 v Ljubljani; pesnik in prevajalec, lirik z erotičnimi, filozofskimi, socialnimi in patriotičnimi motivi, ekspresionist. Prevajal iz več jezikov.	610110297;323
494	Grafenauerjeva ulica	1933	Fran Grafenauer, roj. 1860, umrl 1935 v Mostah pri Brdu na Koroškem; politik in narodni borec, zastopal je koroške Slovence v avstrijskem državnem zboru.	610110298;324
495	Grajska planota	1906	Ravnica pred gradom.	610110299;325
496	Grajska planota	1906	Ravnica pred gradom.	610110286;301
497	Grajski drevored	1906	Drevored na vrhu grajskega hriba.	610110300;326
498	Grajzerjeva ulica	1980		610110301;1779
499	Gramozna pot	1968	Vodi mimo gramoznih izkopov, krajevno udomačeno ime.	610110302;327
500	Grampovčanova ulica	1939	Po bližnji domačiji.	610110303;328
501	Grassellijeva ulica	1933	Peter Grasselli, roj. 1841 v Kranju, umrl 1933 v Ljubljani; politik, ljubljanski župan, deželni poslanec. Sodeloval pri najpomembnejših slovenskih kulturnih društvih.	610110304;329
502	Gregorčičeva ulica	1923	Simon Gregorčič, roj. 1844 v Vrsnem na Goriškem, umrl 1906 v Gorici; pesnik, zlasti domoljubne zastrto erotične in krajinske lirike, imenovan goriški slavček.	610110305;331
503	NA	NA	NA	NA
504	Grič	1963	Domače krajevno ime.	610110307;334
505	Grintovška ulica	1938	Po Grintovcu, gori v Kamniških Alpah.	610110308;335
506	Grobeljca	1983	Domače krajevno ime.	610110309;1780
507	Grobeljska pot	1968	Po grobljah pred zazidavo.	610110310;336
508	Groharjeva cesta	1923	Ivan Grohar, roj. 1867 v Sorici, umrl 1911 v Ljubljani: slikar, eden izmed vodilnih slovenskih impresionistov.	610110311;337
509	Grošljeva ulica	1957	Pavel Grošelj, roj. 1883 v Ljubljani, umrl 1940 v Zagrebu; naravoslovec, kot esejist in predavatelj bil pomemben propagator darvinizma in popularizator naravoslovnih ved.	610110312;338
510	Groznikova ulica			610110313;1781
511	Groznikova ulica			610111559;2007
512	Grško	1983	Domače krajevno ime.	610110314;1782
513	Grško	1983	Domače krajevno ime.	610111439;1533
514	Gruberjevo nabrežje	1986	Gabrijel Gruber, roj. 1740 na Dunaju, umrl 1805 v Petersburgu; hidrotehnik. Napravil načrt za po njem imenovani prekop in za osuševanje Ljubljanskega barja.	610110315;2311
515	Gruberjevo nabrežje	1986	Gabrijel Gruber, roj. 1740 na Dunaju, umrl 1805 v Petersburgu; hidrotehnik. Napravil načrt za po njem imenovani prekop in za osuševanje Ljubljanskega barja.	610110315;339
516	Grudnova ulica	1970	Dušan Gruden, roj. 1923 v Dravljah pri Ljubljani, padel 1943 pri Ožbaltu nad Skofjo Loko; dijak, od 1941 aktivist OF.	610110316;340
517	Grudnovo nabrežje	1923	Josip Gruden, roj. 1869, umrl 1922 v Ljubljani; zgodovinar, avtor Zgodovine slovenskega naroda.	610110317;342
518	Grudnovo nabrežje	1923	Josip Gruden, roj. 1869, umrl 1922 v Ljubljani; zgodovinar, avtor Zgodovine slovenskega naroda.	610110318;344
519	Gunceljska cesta	1968	Po naselju Gunclje.	610110319;345
520	Gunduličeva ulica	1930	Ivan Gundulič, roj. 1589, umrl 1638 v Dubrovniku: hrvatski renesančni pesnik, pisatelj in dramatik, klasik hrvatske dubrovniške književnosti.	610110320;346
521	Gustinčarjeva ulica	1983	Dragutin Gustinčič, 1882-1974. Publicist in politik, predvojni revolucionar in komunist , soustanovitelj socialistične stranke Slovenije.	610110321;1783
522	Gustinčičeva ulica			610110322;1784
523	Hacetova ulica			610110323;1785
524	Hacquetova ulica	1988	Baltazar Hacquet, roj. ok. 1739 v Le Conquetu v Bretagni, umrl 1815 na Dunaju; naravoslovec, kot botanik, mineralog in geolog je pomemben raziskovalec naših krajev.	610110324;2352
525	Hacquetova ulica	1988	Baltazar Hacquet, roj. ok. 1739 v Le Conquetu v Bretagni, umrl 1815 na Dunaju; naravoslovec, kot botanik, mineralog in geolog je pomemben raziskovalec naših krajev.	610110324;347
526	Hafnerjeva ulica	1968	Vinko Hafner, roj. 1912 v Škofji Loki, ustreljen 1944 v Begunjah; delavec, predvojni revolucionar in aktivist OF v okolici Ljubljane.	610110325;348
527	Hajdrihova ulica	1930	Anton Hajdrih, roj. 1842, umrl 1878 v Ljubljani; glasbenik in skladatelj. Njegove zborne pesmi so bile priljubljene pri tedanjih pevskih društvih.	610110326;349
528	Hauptmanca	1876	Domače krajevno ime. Zemljišče Hauptmance je pred stoletji pripadalo deželnemu glavarju (Landeshauptmann), od tod njegovo ime, ki mu ga je dalo ljudstvo.	610110327;350
529	Herbersteinova ulica	1928	Sigmund Herberstein, roj. 1486 v Vipavi, umrl 1566 na Dunaju; diplomat in potopisec. Posebnega pomena je bila njegova knjiga o Rusiji, ki je dolgo služila za spoznavanje ruskih razmer.	610110328;351
530	Bratinova ulica	1959	Valo Bratina, roj. 1887 v Idriji, umrl 1954 v Ljubljani; dramski igralec in režiser, organizator amaterskih gledališč.	610110074;80
531	Gregorčičeva ulica	1923	Simon Gregorčič, roj. 1844 v Vrsnem na Goriškem, umrl 1906 v Gorici; pesnik, zlasti domoljubne zastrto erotične in krajinske lirike, imenovan goriški slavček.	610110305;330
532	Hladilniška pot	1968	Po hladilnici v Zalogu, krajevno udomačenem imenu.	610110329;352
533	Hladnikova cesta	1993		610110330;433
534	Hlebčeva ulica	1980	Albert Hlebec, 15.2.1899 Trbovlje - 1939 ZDA. Novinar, član KPJ; emigriral v Francijo. Leta 1938 po nalugu partije šel v ZDA in v nepojasnjenih okoščinah tu tudi umrl.	610110331;1786
535	Hodoščkova ulica	1970	Jože Hodošček, roj. 1915 v Celovcu, padel 1944 na Koroškem kot sekretar okrajnega komiteja KPS Beljak; električar, pred vojno član OK SKOJ Ljubljana, organizator OF.	610110332;353
536	Vojkova cesta	2010	Janko Premrl-Vojko, roj. 1920 v Šentvidu pri Vipavi, padel 1943 v bojih pri Idrijski Beli kot komandant 1. primorske brigade; dijak, predvojni revolucionar, narodni heroj.	610111389;355
537	Hotimirova ulica	1988	Hotimir, knez karantanskih Slovencev v 8. stoletju.	610110333;358
538	Hotimirova ulica	1988	Hotimir, knez karantanskih Slovencev v 8. stoletju.	610110333;2353
539	Hradeckega cesta Center	1932	Janez Nepomuk Hradecky, roj. 1775, umrl 1846 v Ljubljani; ljubljanski župan. Podal pobudo za nastanek naselja ob tej cesti, zaslužen tudi za osuševanje in kolonizacijo Ljubljanskega barja.	610110334;360
540	Hradeckega cesta Center	1932	Janez Nepomuk Hradecky, roj. 1775, umrl 1846 v Ljubljani; ljubljanski župan. Podal pobudo za nastanek naselja ob tej cesti, zaslužen tudi za osuševanje in kolonizacijo Ljubljanskega barja.	610110334;359
541	Hranilniška ulica	1892	Po Kranjski hranilnici, ki je z denarjem pomagala Društvu za gradnjo delavskih stanovanj pri gradnji prvih hiš v tej ulici.	610110335;361
542	Hrenova ulica	1984	Ljudsko poimenovanje z raznim rastlinjem obraščene ulice na mcstncm obrobju; ime omenjeno prvič v virih iz začetka 16. stoletja.	610110336;362
543	Hrenova ulica	1984	Ljudsko poimenovanje z raznim rastlinjem obraščene ulice na mcstncm obrobju; ime omenjeno prvič v virih iz začetka 16. stoletja.	610110336;2354
544	Hribarjevo nabrežje	1933	Ivan Hribar, roj. 1851 v Trzinu, umrl 1941( iz protesta proti okupaciji Ljubljane 1941 storil samomor) v Ljubljani; politik, ljubljanski župan 1896 - 1910.	610110337;363
545	Hribernikova ulica	1982	Simon Hribernik, 1904-1942. Član OF, ustrelčjen kot prva žrtev okupatorja v KS Savlje-Kleče.	610110338;1787
546	Hribernikova ulica	1982	Simon Hribernik, 1904-1942. Član OF, ustrelčjen kot prva žrtev okupatorja v KS Savlje-Kleče.	610110339;1788
547	Hruševska cesta	1974	Na željo domačinov, ker vodi v naselje Hrušico.	610110340;2355
548	Hruševska cesta	1974	Na željo domačinov, ker vodi v naselje Hrušico.	610110340;364
549	Hrvaška ulica	2009	Moskovska je asociacija na močno, silno mesto, kar ta ulica s svojim trgovskim in zabavno-kulturnem programom tudi predstavlja. Poimenovanje je povzeto po glavnem mestu Ruske republike Moskvi, v duhu medsebojnega sodelovanja med glavnima mestoma. Moskva je glavno mesto in največje mesto v Rusiji. Razprostira se na 880 km2 ob reki Moskvi.	610111550;1673
550	Hrvatski trg	1910	Oddolžitev Zagrebu, ki je eno svojih ulic imenoval Slovenska ulica.	610110341;366
551	Hubadova ulica	1941	Matej Hubad, roj. 1866 v Povodju, umrl 1937 v Ljubljani; glasbenik, ravnatelj šole Glasbene matice, vodja njenega pevskega zbora, učitelj solo petja.	610110342;368
552	Hudourniška pot			610110343;1789
553	Hudovernikova ulica	1968	Aleksander Hudovernik, roj. 1861 v Stični, umrl 1931 v Ljubljani; pravnik in narodnoobrambni delavec, predsednik Družbe sv. Cirila in Metoda in ustanovitelj narodnoobrambnega društva Branibor.	610110344;2356
554	Hudovernikova ulica	1968	Aleksander Hudovernik, roj. 1861 v Stični, umrl 1931 v Ljubljani; pravnik in narodnoobrambni delavec, predsednik Družbe sv. Cirila in Metoda in ustanovitelj narodnoobrambnega društva Branibor.	610110344;369
555	Idrijska ulica	1926	Po mestu Idriji.	610110345;370
556	Igriška ulica	1876	Ljudsko poimenovanje po deželnem igrišču (Ballhaus), ki je stalo na začetku te ulice.	610110346;371
557	Ilešičeva ulica	1979	Po značilni drevesni vrsti ki je predstavljala del ozelenitve v soseski VS-103.	610110347;1790
558	Ilirska ulica	1903	V spomin na francosko Ilirijo in na ilirsko gibanje.	610110348;372
559	Ilovški štradon	1913	Ljudsko ime po tamkajsnjem zemljišču Ilovica.	610110349;373
560	Ulica Ambrožiča Novljana	2009		610110350;374
561	Ingličeva ulica			610110351;1791
562	Ipavčeva ulica	1930	Benjamin Ipavic, roj. 1829 Šentjurju pri Celju, - 1909 v Gradcu; skladatelj. Njegove skladbe pomenijo prehod v novo romantiko. Brat Gustav Ipavic, roj. 1831, umrl 1908 v Sentjurju; skladatelj romantik.	610110352;375
563	Izletniška ulica	1970	Domače ime.	610110353;376
564	Ižanska cesta	1919	Vodi proti Igu. Tako so jo imenovali že pred uradnim imenovanjem.	610110354;378
565	Jadranska ulica	1933	Po Jadranskem morju.	610110355;379
566	Jakčeva ulica	1991		610110356;1701
567	Jakhljeva ulica	1980	Adolf Jakhelj, 1910-1942. Študent, predvojni revolucionar in komunist, 1941 ustanovil Grosupeljsko partizansko četo. Padel pri napadu na Turjak.	610110357;1792
568	Jakopičev drevored	1952	Rihard Jakopič, roj. 1869, umrl 1943 v Ljubljani; najodličnejši slovenski slikar, zastopnik impresionizma.	610110358;381
569	Jakopičeva ulica	1999	Rihard Jakopič, roj. 1869, umrl 1943 v Ljubljani; najodličnejši slovenski slikar, zastopnik impresionizma.	610111507;1616
570	Jakopičevo sprehajališče	1958	Rihard Jakopič, roj. 1869, umrl 1943 v Ljubljani; slovenski slikar, zastopnik impresionizma.	610110359;383
571	Jakšičeva ulica	1952	Djura Jakšič, roj. 1832 v Srpski Crnji, umrl 1878 v Beogradu; slikar in pisatelj, najpomembnejši predstavnik romantike v srbskem slikarstvu.	610110360;386
572	Jalnova ulica			610110361;1793
573	Jamnikarjeva ulica	1963	Po bratih Jamnikar. Franc Jamnikar, roj. 1908, umrl 1946 v Ljubljani; knjigovez, predvojni revolucionar in komunist, organizator OF, interniran v koncentracijsko taborišče Dachau. Jože Jamnikar, roj. 1910, umrl leta 1943 v Ljubljani; ključavničar, predvo	610110362;388
574	Jamova cesta	1952	Matija Jama, roj. 1872, umrl 1947 v Ljubljani; slikar, v prvi vrsti krajinar, postal naš najdoslednejši impresionist ter se na koncu približal realističnemu ekspresionizmu.	610110363;390
575	Janežičeva cesta	1923	Anton Janežič, roj. 1828 v Lešah pri St. Jakobu v Rožu, umrl 1869 v Celovcu; slovničar, slovarnik in najpomembnejši slovenski slovstveni organizator 19. stoletja.	610110364;391
576	Janova ulica			610110365;1794
577	Janševa ulica	1923	Anton Janša, roj. 1734 na Breznici na Gorenjskem, umrl 1773 na Dunaju; čebelar in slikar. Kot čebelarski učitelj na Dunaju zaslužen za uvajanje umnega čebelarstva.	610110366;393
578	Japljeva ulica	1898	Jurij Japelj, roj. 1744 v Kamniku, umrl 1807 v Celovcu; prevajalec biblije in jezikoslovec.	610110367;394
579	Jarčeva ulica	1974	Miran Jarc, roj. 1900 v Črnomlju, padel 1942 v italijanski ofenzivi na Pugledu pri Starem Logu; pesnik in pisatelj, ekspresionist.	610110368;395
580	Jarnikova ulica	1930	Urban Jarnik, roj. 1784 v Potoku pri Stebnju v Ziljski dolini, umrl 1844 v Blatogradu nad Vrbskim jezerom; jezikoslovec, najpomembnejši slovenski romantični pesnik pred Prešernom.	610110369;396
581	Jarše	1958	Po naselju Jarše.	610110370;397
582	Jarška cesta	1959	Po naselju Jarše kamor cesta vodi.	610110371;398
583	Jarška cesta	1959	Po naselju Jarše kamor cesta vodi.	610110371;2309
584	Park Sveta Evrope	2004	Po medvladni organizaciji Counsil of Europe s sedežem v Strasbourgu s 45 državami članicami, ki zastopa okrog 800 milijonov državljanov.	610110000;399
585	Hubadova ulica	1941	Matej Hubad, roj. 1866 v Povodju, umrl 1937 v Ljubljani; glasbenik, ravnatelj šole Glasbene matice, vodja njenega pevskega zbora, učitelj solo petja.	610110342;367
586	Javorjev drevored	1967	Po drevesni vrsti ob ulici.	610110372;400
587	Ruska ulica	1957	Ulico so med prvo svetovno vojno zgradili ruski ujetniki in je bila imenovana v njihov spomin.	610111034;1119
588	Javorškova ulica	1938	Po priljubljenem šišenskem učitelju.	610110373;401
589	Jazbečeva pot	1982	V preteklosti je bilo v hribu nad vasjo mnogo jazbecev, ki so postali simbol naselja.	610110374;1795
590	Jegličeva cesta	1952		610110695;770
591	Jelinčičeva ulica	2008	Jelinčič (Jožef) Zorko, roj. 1900 v Logu pod Mangartom, umrl 1965 v Trstu; publicist, primorski narodni buditelj, rodoljub, tigrovec, gornik.	610111535;1654
592	Jelovškova ulica	2010	Franc Jelovšek, roj. 1700 v Mengšu, umrl 1764 v Ljubljani; slikar, med najpomembnejšimi slikarji našega baroka, izkazal se je zlasti z iluzionističnimi freskami.	610110375;403
593	Jelovškova ulica	2010	Franc Jelovšek, roj. 1700 v Mengšu, umrl 1764 v Ljubljani; slikar, med najpomembnejšimi slikarji našega baroka, izkazal se je zlasti z iluzionističnimi freskami.	610110375;402
594	Jenkova ulica	1898	Simon Jenko, roj. 1835 na Podreči pri Mavčičah, umrl 1869 v Kranju; najboljši slovenski lirik med Prešernom in »moderno«.	610110376;404
595	Jensenova ulica	2004	Jensen Alfred, roj. 1859 v Forssi na Švedskem, umrl 1921 na Dunaju v Avstriji; pesnik in prevajalec.	610111522;1639
596	Jerajeva ulica	1970	Anton Jeraj, roj. 1900 na Trati pri Ljubljani, umrl 1945 v koncentracijskem taborišču Dachau; obrtnik, predvojni revolucionar in aktivist OF.	610110377;405
597	Jerančičeva ulica	1970	Edvard Jerančič-Edi, roj. 1918 v Clevelandu, ZDA, padel 1944 na Trati pri Škofji Loki; strojni tehnik, aktivist OF v Vižmarjah pri Ljubljani.	610110378;406
598	Jeranova ulica	1896	Luka Jeran, roj. 1818 v Javorju v Poljanski dolini - 1896 v Ljubljani. Nabožni pesnik in pisatelj. Podpiral dijaštvo.	610110379;407
599	Jeranova ulica	1896	Luka Jeran, roj. 1818 v Javorju v Poljanski dolini - 1896 v Ljubljani. Nabožni pesnik in pisatelj. Podpiral dijaštvo.	610110380;408
600	Jesenkova ulica	1933	Fran Jesenko, roj. 1875 v Škofji Loki, umrl 1932 v Ljubljani; botanik, naj več se je ukvarjal s fiziologijo in genetiko rastlin.	610110381;1611
601	Jesihov štradon	1998		610110381;409
602	Jezerska pot	1953	Domače ime. Posestniki zemljišč so bili tudi iz vasi Jezero.	610110382;410
603	Jezerska ulica	1928	Po kraju Jezersko.	610110383;411
604	Ježa	1971	Po imenu naselja.	610110384;412
605	Ježa	1958	Po imenu naselja Ježica.	610110385;413
606	Joškov štradon	1953	Domače imepo posestniku zemljišča.	610110386;414
607	Jurčeva ulica	1970	Franc Jurca, roj. 1908 v Senožečah pri Sežani, ustreljen 1943 kot talec v Selcah pri Škofji Loki; obrtnik, prcdvojni revolucionar in aktivist OF od 1941 na Brodu pri Ljubljani.	610110387;415
608	Jurčičev trg	1892	Josip Jurčič, roj. 1844 na Muljavi pri Krki, umrl 1881 v Ljubljani; pisatelj, utemeljitelj sodobne slovenske pripovedne proze ter pisec prvega slovenskega romana (Deseti brat, 1866).	610110388;417
609	Jurčkova cesta	2010		610110389;421
610	Jurčkova cesta	2010		610110389;420
611	Jurčkova cesta	2010		610110389;418
612	Juričeva ulica	1983	Ludvik Jurič-Šimen, roj. 8.9.1911 v Šmartnem pod Šmarno goro. Rejonski električar. Leta 1941 se je priključil NOB in deloval kot član OF in VOS v okraju Smednik. Od leta 1944 član OZNE ua Primorsko. Umrl 22.3.1978 v Šmartnem pod Šmarno goro. Martin Jurič, 11.11.1917-11.11.1941. Borec Rašiške čete; ustreljen kot talec.	610110390;1796
613	Justinova ulica	1976	Janko Justin, roj. 1918, umrl 1949 Vižmarje pri Ljubljani; elektrikar, od 1941 do 1944 v vojnem ujetništvu v Berlinu, nato pobegnil v NOV.	610110391;422
614	Juvanova ulica	1997	Franc Juvan, roj. 1875 v Ljubljani, umrl 1960 v Ljubljani; vrtnar, botanik.	610111503;1595
615	Štepanjsko nabrežje	1957	Po imenu naselja Štepanja vas.	610111157;1232
616	K reaktorju	1984	Pot vodi k reaktorju, ki je nameščen v Nuklearnem fizikalnem inštitutu Jožef Štefan.	610110392;1797
617	Kadilnikova ulica	1939	France Kadilnik, roj. 1825 v Stari vasi pri Krškem, umrl 1908 v Ljubljani; planinec in planinski pisatelj, pobudnik slovenskega planinstva.	610110393;423
618	Kajakaška cesta	1984	Po vrsti športa - kajakaških tekmah, ki so vsako leto na brzicah Save ob tem predelu.	610110394;1798
619	Kajakaška cesta	1984	Po vrsti športa - kajakaških tekmah, ki so vsako leto na brzicah Save ob tem predelu.	610110394;2357
620	Kajakaška cesta	1984	Po vrsti športa - kajakaških tekmah, ki so vsako leto na brzicah Save ob tem predelu.	610110395;425
621	Kalingerjeva ulica	1958	Ciril Kalinger, 1909 na Drski pri Novem mestu. Po poklicu mizar. Predvojni revolucionar in komunist, politično deloval na Ježici. 1942 padel na Jančah pri Ljubljani.	610110396;426
622	Kalinova ulica	1984	Boris Kalin, 1905-1975. Slovenski kipar, član SAZU. Klasično izbrušene forme, portreti, javni spomeniki.	610110397;1799
623	Kališnikov trg	1964	Jože Kališnik, roj, 1923 v Buču pri Šmartnem v Tuhinjski dolini, padel 1943 nad Podutikom pri Ljubljani; vajenec, aktivist mladinske OF na Ježici.	610110398;428
624	Kaminova ulica	1974	Dr. Mihael Kamin-Miha, roj. 1889 v Dolenji vasi pri Čatežu, ustreljen 1944 kot talec v Kovorju pri Tržiču; zdravnik. V bolnišnici za duševne bolezni na Poljanskem nasipu v Ljubljani je skrival in zdravil partizane in ilegalce.	610110399;429
625	Kamniška ulica	1902	Po mestu Kamnik.	610110400;430
626	Hladnikova cesta	1993		610110330;431
627	Kamnogoriska cesta	1939	Po naselju Kamna Gorica.	610110401;434
628	Kamnogoriska cesta	1939	V okolišu ulice so bili kamnoseki.	610110402;435
629	Kančeva ulica	1939	Domače ime po posestniku Kancu.	610110403;436
630	Kanonijeva cesta	2010	Janez Kanoni-Ivan, roj. 1904 v Fordenbergu v Avstriji, umrl 1973 v Ljubljani; slovenski zdravnik psihiater, partizan, častnik, prvoborec.	610111567;2015
631	Kantetova ulica			610110404;1800
632	Kapiteljska ulica	1876	Ljudsko poimenovanje. Stolni kapitelj je imel vrtove v tamkajšnjem okolišu.	610110405;437
633	Kapusova ulica	1941	Marko Anton Kappus, roj. 1657 v Kamni Gorici, umrl 1717 v Mehiki; jezuit misijonar v Mehiki.	610110406;439
634	Zbašnikova ulica	1941	Fran Zbašnik, roj. 1855 v Dolenji vasi pri Ribnici, umrl 1935 v Ljubljani; pripovednik in kritik, urednik.	610111463;1555
635	Kardeljeva ploščad	1980	Edvard Kardelj, 1910-1979. Družbeno politični delavec, državnik, marksistični teiretik, eden najožjih Titovih sodelavcev, soustanovitelj OF, med NOB član vrhovnega štaba, predsedstva AVNOJ in podpredsednik NKOJ. Narodni heroj in heroj socialistične graditve.	610110407;1801
636	Slovenska cesta	1991	Po imenu republike Slovenije in večinskem narodu te republike.	610111065;1268
637	Karingerjeva ulica	2000	Karinger Anton, 23.11.1829 v Ljubljani - 14.03.1870 v Ljubljani, slikar.	610111516;1625
638	Menardova ulica	1959	Maks Menard-Karo, roj. 1922 v Dobrunjah pri Ljubljani, umrl 1956 v Ljubljani; dijak, od 1941 aktivist OF, pomemben organizator partizanskih kurirskih poti. Po osvoboditvi komandant Ljudske milice mesta Ljubljane.	610110624;684
639	Karlovška cesta	1876	Po mestu Karlovcu, ker vodi v tisto smer. Ime so uporabljali že dolgo pred uradnim imenovanjen.	610110408;440
640	Ižanska cesta	1919	Vodi proti Igu. Tako so jo imenovali že pred uradnim imenovanjem.	610110354;377
641	Karunova ulica	1896	Franc Karun, roj. 1818, umrl 1890 v Ljubljani; trmovski župnik. Izvedel gradnjo nove cerkve.	610110409;441
642	Koželjeva ulica	1939	Matija Koželj, roj. 1842 v Vesci pri Vodicah, umrl 1917 v Kamniku; cerkveni slikar. Slikal freske in oltarne slike.	610110489;442
643	Kastelčeva ulica	1923	Miha Kastelic, roj. 1797 v Gorenji vasi pri Stični, umrl 1868 v Ljubljani; bibliotekar, ustanovitelj Kranjske Cbelice.	610110410;444
644	Kašeljska cesta	1968	Po imenu naselja.	610110411;445
645	Katreževa pot	1980	Po sestri in bratu Tavčar, po domače Katreževih. Tončka Tavčar, roj. 1916 na Črnučah, padla 1945 na Zasavski gori; delavka, od 1941 aktivistka OF. Franc Tavčar, roj. 1917 na Crnučah, padel 1943 pri Crnučah. Delavec, od 1941 aktivist OF.	610110412;446
646	Katreževa pot	1980	Po sestri in bratu Tavčar, po domače Katreževih. Tončka Tavčar, roj. 1916 na Črnučah, padla 1945 na Zasavski gori; delavka, od 1941 aktivistka OF. Franc Tavčar, roj. 1917 na Crnučah, padel 1943 pri Crnučah. Delavec, od 1941 aktivist OF.	610110412;2358
647	Kavadarska cesta	1984	Po mestu Kavadarci, Makedonija, s katerim je občina Ljubljana Siška sklenila leta 1976 pobratenje zaradi gospodarskega, političnega in kulturnega sodelovanja.	610110413;2314
648	Kavadarska cesta	1984	Po mestu Kavadarci, Makedonija, s katerim je občina Ljubljana Siška sklenila leta 1976 pobratenje zaradi gospodarskega, političnega in kulturnega sodelovanja.	610110413;448
649	Kavčičeva ulica	1952	Ivan Kavčič-Nande, roj. 1913 v Desnjaku pri Ljutomeru, padel 1943 kot namestnik politkomisarja glavnega štaba NOV in POS v Selih pri Šumberku; delavec, predvojni revolucionar in komunist, organizator NOV v ljubljanski okolici, narodni heroj.	610110414;450
650	Kavškova ulica	1902	Po posestniku in županu v Spodnji Šiški Francu Kavšku.	610110415;451
